제목,줄거리,장르,연령등급,제작연도,평점,포스터 이미지,OTT
나이트 플라이트,"치명적인 야간비행 | 낯선 남자가 그녀를 조종한다!

세련되고 당찬 미모의 호텔리어 리사는 마이애미행 야간 비행기에 탑승한다. 그녀는 공항 로비에서 만났던 매력적인 남자 잭슨이 옆좌석임을 알게 되고, 반복되는 우연에 묘한 설레임을 느낀다. 그러나 비행기가 이륙하자,....","드라마, 액션, 스릴러",15세 이상 관람가,2005년,3.1,https://file.kinolights.com/m/content_poster/202403/21/4dc9ea98-c695-4029-977a-05bb83c6670c.webp,넷플릭스
나이트메어 라디오,어둠이 세상을 삼키는 자정. 디제이 로드는 청취자들의 공포스러운 경험과 괴담을 들려주는 라디오 디제이를 하고 있다. 다섯 개의 소름 끼치고 무시 무시한 이야기가 라디오를 타고 흘러 나오면서 로드는 현실과 악몽의 경계를 넘나들게 되는데…,공포,15세 이상 관람가,2019년,0.0,https://file.kinolights.com/m/content_poster/202307/12/d0b223cf-e829-4768-9036-1d9d77e2d1b0.webp,"왓챠, 티빙"
나이트메어 앨리,"성공에 목마르고 욕망으로 가득 찬 스탠턴은 절박한 상황에서 유랑극단에서 만난 독심술사 지나를 이용하여 사람의 마음을 간파하는 기술을 터득한다. 수려한 외모, 현란한 화술, 마음을 현혹시키는 능력으로 뉴욕 상류층 상대로 부를 손에 쥐게 된 스탠턴. 채워지지 않는 그의 위험한 욕망을 꿰뚫어 본 심리학자 릴리스 박사는 뉴욕에서 가장 위험한 거물을 그에게 소개해 주는데…","드라마, 스릴러",15세 이상 관람가,2021년,3.7,https://file.kinolights.com/m/content_poster/202307/12/b93a6ee9-386f-4296-9b8f-4e3deb7dc332.webp,쿠팡플레이
나이트콜,매디는 낮에는 공부하고 밤에는 자물쇠 수리공으로 일하며 열심히 살아가는 청년이다. 어느 날 저녁 그는 수수께끼 같은 소녀 클레어를 만나고 그녀의 정체는 알 수 없지만 그녀를 돕기로 한다.,"액션, 스릴러",15세 이상 관람가,2024년,3.3,https://file.kinolights.com/m/content_poster/202502/17/0f7d608a-ade9-42fa-9369-d36b76ec8dd7.webp,왓챠
나탈리,"치명적인 아름다움으로 스포트라이트를 받아온 명품 조각상 ‘나탈리’. 하지만 실제 모델이 누군지 등 일체 알려진 바 없이 베일에 싸여있던 ‘나탈리’가 거장 조각가 황준혁의 개인전에서 10년 만에 다시 공개된다. 전시회 마지막 날, 준혁은 자신을 찾아온 평론가 장민우에게 ‘나탈리’의 실제 모델, 오미란과의 격정적인 사랑의 기억을 들려주게 되지만, 민우는 그녀가 자신을 사랑했다고 말한다. 그녀를 둘러싼 준혁과 민우의 엇갈린 기억, 그리고 ‘나탈리’를 둘러싼 비밀이 밝혀지기 시작하는데…","드라마, 로맨스",청소년 관람불가,2010년,1.3,https://file.kinolights.com/m/content_poster/202307/12/b561000b-5375-4e42-83b4-c13c655c29a5.webp,왓챠
낙원의 밤,"피의 대가는 피로 치러야 한다. 참혹한 비극 앞에, 복수를 택한 남자. 그리고 버림받은 남자. 제주도에 몸을 숨긴 그가 한 여자를 만난다. 죽음의 그림자를 간직한 여자를.",액션,청소년 관람불가,2020년,2.6,https://file.kinolights.com/m/content_poster/202307/12/ab320799-4ec7-4242-86cd-ec096d488cbc.webp,넷플릭스
난심,"3년 전, 임천족의 소주 혁련희는 영조 공주 봉연과 특별한 사랑의 상징인 ‘연리지’를 두고 부부의 연을 맺는다. 하지만 부족 간의 정국 변화와 함께 봉연이 사라지며 임천족을 지키는 결계였던 연리지가 말라죽게 된다. 그로 인해 임천족은 지하에 봉인되고, 간신히 목숨을 건진 혁련희는 연리지를 되살리기 위해 봉연을 찾아 죽이려고 하는데..","드라마, 로맨스",15세 이상 시청가,2024년,0.0,https://file.kinolights.com/m/content_poster/202408/01/9053336a-4fd5-4681-996a-20471a1cab54.webp,티빙
난홍,어린 시절의 짝사랑 상대를 우연히 만난 원이판. 어쩌다 그와 룸메이트가 되면서 복잡한 감정이 다시금 피어오르기 시작한다.,"드라마, 로맨스",15세 이상 시청가,2025년,0.0,https://file.kinolights.com/m/content_poster/202503/05/2591a0d3-7c3c-45a9-b276-55a31f44ab14.webp,넷플릭스
날 녹여주오,24시간 냉동 인간 프로젝트에 참여한 남녀가 미스터리한 음모로 인해 20년 후 깨어나면서 맞이하는 가슴 뜨거운 이야기.,드라마,15세 이상 시청가,2019년,2.7,https://file.kinolights.com/m/content_poster/202307/12/27eb8835-47b9-4a1d-9fa3-c939a5cb83f8.webp,티빙
날씨가 좋으면 찾아가겠어요,"서울 생활에 지쳐 북현리로 내려간 해원이, 독립 서점을 운영하는 은섭을 다시 만나게 되며 펼쳐지는 가슴 따뜻한 힐링 로맨스",드라마,15세 이상 시청가,2020년,3.8,https://file.kinolights.com/m/content_poster/202307/12/3eda4a14-6051-42fa-a69e-684c9ba31e69.webp,티빙
날씨의 아이,"도쿄에 온 가출 소년 ‘호다카’는 오컬트 잡지사에 취직한다. 연일 쏟아지는 빗방울과 함께 점차 삶에 지쳐가던 소년. 그러던 어느 날, 소년의 눈앞에 한 소녀가 나타난다. 그녀의 기도와 함께 거짓말처럼 비가 그치고 햇살이 떠오르기 시작하는데…","드라마, 판타지, 애니메이션",15세 이상 관람가,2019년,3.2,https://file.kinolights.com/m/content_poster/202307/12/82a8f87b-269c-46f3-9e81-2892b78e4089.webp,"왓챠, 쿠팡플레이"
남과 여,"한 남자가 있다.

그는 남들이 부러워 할 만큼의 사회적 지위와 경제력, 교양 있는 마누라, 예쁜 딸 등 모든 걸 갖추고 있다.

그러나 마음 한 구석은 언제나 비워 있는 듯하다.

그것이 무엇인지도 모르는 채 그렇게 헛헛하게 살아가고 있다.

여....","드라마, 로맨스",청소년 관람불가,2007년,0.0,https://file.kinolights.com/m/content_poster/202307/12/3663751e-06e5-4aed-8bae-239ce8034a6c.webp,티빙
남극의 쉐프,"해발 3,810m, 평균 기온 -54도의 극한지인 남극 돔 후지 기지. 귀여운 펭귄도 늠름한 바다표범도 심지어 바이러스조차 생존할 수 없는 이곳에서 8명의 남극관측 대원들은 1년 반 동안 함께 생활해야 한다. 기상학자 카네다, 빙하학자 모토야마, 빙하팀원 키와무라, 대기학자 히라바야시, 통신담당 니시하라, 의료담당 후쿠다 그리고 니시무라는 매일매일 대원들에게 맛있는 음식을 선사하는 조리담당이다. 평범한 일본 가정식에서부터 때로는 호화로운 만찬까지 언제나 대원들을 위해 정성을 다해 요리하는 남극의 쉐프 니시무라는 전 대원이 함께 모인 맛있는 식사시간에 그들의 얼굴에 번지는 미소를 볼 때가 가장 기쁘다. 대원들 역시 니시무라의 음식을 먹는 것이 유일한 낙. 하지만 무려 14,000km나 떨어진 일본에 있는 보고 싶어도 볼 수 없는 사랑하는 아내와 딸 그리고 아들에 대한 그리움으로 남극 기러기 아빠 생활은 힘들기만 한데…",코미디,전체 관람가,2009년,3.4,https://file.kinolights.com/m/content_poster/202307/12/4c46a3f5-7fee-4380-9b30-ab209b5f220b.webp,티빙
남산의 부장들,"1979년 10월 26일, 중앙정보부장 김규평이 대한민국 대통령을 암살한다. 이 사건의 40일전, 미국에서는 전 중앙정보부장 박용각이 청문회를 통해 전 세계에 정권의 실체를 고발하며 파란을 일으킨다. 그를 막기 위해 중앙정보부장 김규평과 경호실장 곽상천이 나서고, 대통령 주변에는 충성 세력과 반대 세력들이 뒤섞이기 시작하는데…","드라마, 스릴러",15세 이상 관람가,2019년,3.5,https://file.kinolights.com/m/content_poster/202307/12/e368d2ce-75e9-4529-a956-35540ec04798.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
남은 인생 10년,"스무 살이 되던 해, 수 만명 중 1명이 걸리는 난치병으로 10년의 삶을 선고받은 ‘마츠리’는 삶의 의지를 잃은 카즈토를 만나 사랑에 빠진다. 처음 만난 봄, 즐거운 여름, 아름답던 가을, 깊어진 겨울까지 하루하루 애틋하게 사랑한 두 사람. 하지만 쌓이는 추억만큼 줄어드는 시간 앞에 결국 마츠리는 카즈토를 떠나기로 결심하는데…","드라마, 로맨스",12세 이상 관람가,2022년,3.2,https://file.kinolights.com/m/content_poster/202307/12/6fb2a15b-fad5-4bc1-b370-5aba6beaaf03.webp,왓챠
남자가 사랑할 때,"나이만 먹었을 뿐, 대책 없는 이 남자, 아직도 형 집에 얹혀 살며 조카한테 삥 뜯기는 이 남자, 빌려준 돈은 기필코 받아오는 이 남자, 목사라고 인정사정 봐 주지 않는 이 남자, 여자한테 다가갈 땐 바지부터 내리고 보는 막무가내 이 남자, 평생 사랑과는 거리가 멀었던....",드라마,15세 이상 관람가,2013년,3.0,https://file.kinolights.com/m/content_poster/202307/12/b2d6883d-7b9e-4138-9440-d5689823dfd0.webp,넷플릭스
남자친구,한 번도 자신이 선택한 삶을 살아보지 못한 차수현과 자유롭고 맑은 영혼 김진혁의 우연한 만남으로 시작된 설레는 로맨스 드라마,"드라마, 로맨스",15세 이상 시청가,2018년,2.9,https://file.kinolights.com/m/content_poster/202501/08/7e40cb77-b635-41a3-bd7f-e70499b8124b.webp,"넷플릭스, 티빙"
남한산성,"1636년 인조 14년 병자호란. 청의 대군이 공격해오자 임금과 조정은 적을 피해 남한산성으로 숨어든다. 추위와 굶주림, 절대적인 군사적 열세 속 청군에 완전히 포위된 상황, 대신들의 의견 또한 첨예하게 맞선다. 순간의 치욕을 견디고 나라와 백성을 지켜야 한다는 이조판서 최명길과 청의 치욕스런 공격에 끝까지 맞서 싸워 대의를 지켜야 한다는 예조판서 김상헌. 그 사이에서 인조의 번민은 깊어지고, 청의 무리한 요구와 압박은 더욱 거세지는데...","드라마, 액션",15세 이상 관람가,2017년,3.7,https://file.kinolights.com/m/content_poster/202307/12/da79ff90-fa23-479b-b734-5d4001dd9744.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
낭만닥터 김사부 시즌 1,"지방의 초라한 돌담병원을 배경으로 벌어지는 '괴짜 천재 의사' 김사부와 열정이 넘치는 젊은 의사 강동주, 윤서정이 펼치는 '진짜 닥터' 이야기","드라마, 로맨스",15세 이상 시청가,2016년,4.0,https://file.kinolights.com/m/content_poster/202307/12/038a5b13-dc29-4690-865f-e87b35bdf3ad.webp,넷플릭스
낭만닥터 김사부 시즌 2,지방의 초라한 돌담병원을 배경으로 벌어지는 '진짜 닥터' 이야기,"드라마, 로맨스",15세 이상 시청가,2020년,3.8,https://file.kinolights.com/m/content_poster/202307/12/22b4b260-d2fc-43e9-963e-906f5780d81a.webp,넷플릭스
내 사랑 왕가흔,"때는 1992년, 알아주는 사람 없어도 기타를 치며 노래하곤 하던 천인은 어느 날 밤 우연히 극장에서 아름다운 매표원 왕가흔을 만나 사랑에 빠진다. 그녀의 이름 석자와 기타만을 가지고 놓쳐버린 그녀를 찾아 나서는 천인. 수많은 왕가흔을 만나는 동안 점차 뮤지션으로 성장하는 그의 앞에 정작 그가 애타게 찾는 그 왕가흔은 도무지 나타나질 않는다. 그러던 중, 그의 앞에 나타난 57번째 왕가흔은 그의 첫사랑 찾기를 돕겠다고 나서고 아무리 찾아도 나타나지 않는 '왕가흔’의 존재에 점점 지쳐가는 와중에 생각지도 못한 비밀이 밝혀지는데…!","드라마, 로맨스",12세 이상 관람가,2015년,0.0,https://file.kinolights.com/m/content_poster/202307/12/8bba057b-32b2-4d33-9982-80669aadbdd2.webp,왓챠
"내 어깨 위 고양이, 밥","아무런 희망도 미래도 없는 버스킹 뮤지션 제임스는 길거리에서 상처 입은 고양이 ‘밥’을 우연히 발견한다. 자신과 같은 처지인 고양이 ‘밥’을 위해 생활비를 모두 쏟아 치료해준 후, 여느 날처럼 거리 버스킹 공연을 시작한 제임스는 평소와 다른 분위기를 눈치채게 된다. 어느샌가 고양이 ‘밥’이 제임스 옆자리를 지키고 있었던 것. 평생 한번도 받아보지 못했던 사람들의 따뜻한 환호 속에 제임스는 고양이 ‘밥’과 함께 버스킹 공연을 이어나간다. 우연한 만남을 통해 인생의 두번째 기회를 맞이하게 된 제임스와 ‘밥’의 버스킹 프로젝트가 계속 되던 중, 이들을 시기한 사람들의 방해로 인해 둘은 인생의 또 다른 시련에 맞닥뜨리게 되는데…",드라마,12세 이상 관람가,2016년,3.3,https://file.kinolights.com/m/content_poster/202307/12/5c6a8ddd-db5e-4fc1-85e7-24179231f565.webp,"넷플릭스, 왓챠, 티빙"
내 여자친구의 남자친구,"파리 근방 소도시의 시청에서 일하는 블랑쉬는 식당에서 컴퓨터 학원에 다니는 레아를 만나 친구가 된다. 레아는 애인이 없는 블랑쉬를 남자친구 파비앙의 친구인 알렉상드르와 엮어주려 한다. 하지만 레아가 잠시 휴가를 떠난 사이, 블랑쉬는 파비앙과 사랑에 빠진다. ‘내 친구의 친구는 또한 나의 친구이다.’라는 프롤로그를 보여주며 시작하는 이 작품은 친구와 애인이라는 모티브를 통해 예측할 수 없는 인생의 아이러니를 순차적이며 논리적 서사구조로 통해 보여주며 다양하고 복잡한 의미를 전달한다.
가장 친한 친구의 연인과 어느새 사랑에 빠졌음을 알고는 심리적인 혼란을 겪게 되는 주인공의 이야기. ‘희극과 격언’ 연작 중 마지막 작품으로, ‘희극과 격언’ 연작의 모티브 중 하나인 우정과 사랑에 관한 로메르의 섬세한 사유가 드러나는 작품이다.",코미디,15세 이상 관람가,1987년,3.9,https://file.kinolights.com/m/content_poster/202405/17/b5c672b8-e47f-491c-b654-fca5c9f0323d.webp,왓챠
내 이웃의 비밀,중산층 가정이 모여 사는 평화로운 주택 단지. 열여섯 살 제니의 실종으로 마을은 어두운 분위기에 휩싸인다. 딸의 행방을 쫓던 외과 의사 톰은 이웃들의 비밀과 마주한다.,드라마,19세 이상 시청가,2018년,3.3,https://file.kinolights.com/m/content_poster/202307/12/9e246f3f-37fa-4938-8fd9-477fd1fd0909.webp,넷플릭스
내 인생 특별한 숲속 여행,도시에 사는 반항적인 10대 고아 소년. 성미 고약한 양아버지와 함께 야생의 숲속에서 이상한 모험을 펼친 끝에 삶이 뒤바뀔 깨달음을 얻는다.,"드라마, 코미디",12세 이상 관람가,2016년,3.6,https://file.kinolights.com/m/content_poster/202307/12/7a3738ec-f282-4e1d-aaf9-0e4941c75f40.webp,넷플릭스
내가 널 사랑할 수 없는 10가지 이유,"상냥하고 얼굴도 예쁜 인기 만점 여학생 비앙카는 아직까지 한번도 연애를 해본 적이 없다. 이런 그녀에게 어느날 희소식이 들려온다..! 까칠한 언니 캣에게 남자친구가 생기면 자신도 연애를 할 수 있다는 것! 과연 비앙카는 연애를 할 수 있을까? 그리고 시니컬한 캣을 사랑에 빠지게 할 남학생은 과연 누가 될까?

셰익스피어의 희곡 “말괄량이 길들이기“를 현대화하여 각색한 작품.","코미디, 로맨스",15세 이상 관람가,1999년,3.6,https://file.kinolights.com/m/content_poster/202401/23/6419f5b3-da67-4c51-b08b-71fe8128f573.webp,쿠팡플레이
내가 사는 피부,"교통사고로 인한 화상으로 아내가 죽은 후 저명한 성형외과 의사인 로버트 박사는 12년간 그만의 비밀실험실에서 완벽한 인공피부를 만드는 데 집착한다. 로버트 박사의 비밀스런 실험대상인 베라는 박사의 대저택 안에 감금되어 그녀를 보호해주는 바디슈트만을 입은 채 생활하고, 로버트 박사의 오른팔인 하녀 마릴리아가 그녀를 돌본다. 어느 날, 로버트가 집을 비운 사이 자신을 마릴리아의 아들이라고 밝히는 손님이 저택에 찾아오게 되면서 로버트와 베라를 둘러싼 비밀이 하나씩 밝혀지며 걷잡을 수 없는 파란이 시작되는데..",드라마,청소년 관람불가,2011년,3.2,https://file.kinolights.com/m/content_poster/202307/12/4e53f22d-4fac-4225-aa6a-a2d154dd9f10.webp,"왓챠, 티빙"
내가 죽기 일주일 전,"좀처럼 삶에 대한 기대와 의지를 찾기 힘든 스물넷의 희완. 그녀 앞에 첫사랑 람우가 무려 6년 만에 나타났다. 그것도, 저승사자가 되어서. 게다가 람우는 희완의 죽음을 예고하며 그녀에게 남은 일주일 동안 함께 버킷리스트를 실행해 보자고 제안한다. 그렇게 일주일간의 동행이 시작된다. 현재와 장난기 가득한 그들의 고교 시절을 오가는 시간 여행, 산 자와 사자(死者)의 교감, 비밀과 사랑이 뒤섞인 판타지 청춘 성장 로맨스","드라마, 로맨스",15세 이상 관람가,2025년,0.0,https://file.kinolights.com/m/content_poster/202503/19/d0e0002f-fe6b-4449-adae-4c59687d8c80.webp,티빙
내부자들,"유력한 대통령 후보와 재벌 회장, 그들을 돕는 정치깡패 안상구. 뒷거래의 판을 짠 이는 대한민국 여론을 움직이는 유명 논설주간 이강희다. 더 큰 성공을 원한 안상구는 이들의 비자금 파일로 거래를 준비하다 발각되고, 이 일로 폐인이 되어 버려진다. 빽 없고 족보가 없어 늘 승진을 눈 앞에 두고 주저 앉는 검사 우장훈. 마침내 대선을 앞둔 대대적인 비자금 조사의 저격수가 되는 기회를 잡는다. 그러나 비자금 파일을 가로챈 안상구 때문에 수사는 종결되고, 우장훈은 책임을 떠 앉고 좌천된다. 자신을 폐인으로 만든 일당에게 복수를 계획하는 정치깡패 안상구. 비자금 파일과 안상구라는 존재를 이용해 성공하고 싶은 무족보 검사 우장훈. 그리고 비자금 스캔들을 덮어야 하는 대통령 후보와 재벌, 그들의 설계자 이강희. 과연 살아남는 자는 누가 될 것인가?",드라마,청소년 관람불가,2015년,3.6,https://file.kinolights.com/m/content_poster/202307/12/f7a27c40-d90c-41cb-8d72-2f81a9469c2e.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
내부자들 : 디 오리지널,"유력한 대통령 후보와 재벌 회장, 그들을 돕는 정치깡패 안상구. 뒷거래의 판을 짠 이는 대한민국 여론을 움직이는 유명 논설주간 이강희다. 더 큰 성공을 원한 안상구는 이들의 비자금 파일로 거래를 준비하다 발각되고, 이 일로 폐인이 되어 버려진다. 빽 없고 족보가 없어 늘 승진을 눈 앞에 두고 주저 앉는 검사 우장훈. 마침내 대선을 앞둔 대대적인 비자금 조사의 저격수가 되는 기회를 잡는다.

그러나 비자금 파일을 가로챈 안상구 때문에 수사는 종결되고, 우장훈은 책임을 떠안고 좌천된다. 자신을 폐인으로 만든 일당에게 복수를 계획하는 정치깡패 안상구. 비자금 파일과 안상구라는 존재를 이용해 성공하고 싶은 무족보 검사 우장훈. 그리고 비자금 스캔들을 덮어야 하는 대통령 후보와 재벌, 그들의 설계자 이강희.

과연 살아남는 자는 누가 될 것인가?",드라마,청소년 관람불가,2015년,3.9,https://file.kinolights.com/m/content_poster/202307/12/bdc85807-a706-4a63-b299-383297cc5db4.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
내셔널 트레져: 비밀의 책,"링컨 대통령 암살범 존 윌커스 부스의 일기장에서 사라진 부분이 발견되면서, 벤의 고조부는 에이브러햄 링컨 암살의 공모자라는 누명을 쓰게 된다. 고조부의 무죄를 증명해야 하는 벤은 전세계에 퍼져 있는 실마리를 쫓아 파리와 런던, 미국 전역을 누빈다.

이 여행을 통해 벤과 동료들은 놀랍게도 뜻밖의 사실을 알게 되고, 세계에서 가장 귀중한 비밀의 실마리를 얻게 되는데...",액션,12세 이상 관람가,2007년,2.8,https://file.kinolights.com/m/content_poster/202307/12/041e518a-d0dd-412c-a030-33b507813039.webp,쿠팡플레이
냉정과 열정 사이,"피렌체에서 유화 복원사 과정을 수련중인 쥰세이는 오래전 헤어진 연인 아오이의 소식을 듣게 된다. 조반나 선생님의 추천으로 모두의 관심과 부러움 속에 치골리의 작품 복원을 맡게 되지만 아오이를 만나기 위해 밀라노로 향하는 쥰세이. 그러나 그녀 곁엔 이미 새로운 연인이 있었고, 냉정하게 변해버린 그녀의 마음만을 확인한 채 쥰세이는 다시 피렌체로 돌아온다. 그리고 자신이 작업 중이던 치골리의 작품이 처참하게 훼손된 채 발견되는 사건이 발생하고 쥰세이는 일본으로 향한다. 아오이와의 추억이 가득한 그곳으로.. 일본으로 돌아와 자신이 몰랐던 아오이에 대한 비밀과 오해를 풀게 된 쥰세이는 그녀의 행복을 비는 마지막 편지를 아오이에게 전하며 오래 전 두 사람의 약속을 떠올린다. 피렌체 두오모 성당. 연인들의 성지로 영원한 사랑을 약속한다는 그곳에 그녀의 서른 살 생일에 함께 가기로 했던 쥰세이와 아오이는 약속을 지키기도 전에 헤어졌던 것이다. 영원할 것 같았던 추억이 작별을 고할 무렵, 조반나 선생님의 갑작스런 자살 소식에 쥰세이는 피렌체로 오게 되는데..","드라마, 로맨스",15세 이상 관람가,2001년,3.4,https://file.kinolights.com/m/content_poster/202307/12/901fd569-bc2d-422a-845d-faa1e926d4f0.webp,"쿠팡플레이, 티빙"
너를 만난 여름,"열일곱, 모든 게 서툴고 어설프지만 모든 게 좋았던 시간.

너 ♡ 나 = 최고의 우리 내가 가장 좋아하는 계절은 ‘너를 만난 여름’","드라마, 로맨스",12세 이상 관람가,2019년,2.9,https://file.kinolights.com/m/content_poster/202307/12/6fb12390-fba2-4848-9634-ce6b96586763.webp,넷플릭스
너를 좋아해: 투투장부주,자신의 집에 찾아온 친오빠의 룸메이트 '단가허'에게 반한 주인공 '상지'. 두 사람이 이어지는 과정을 담아낸 따뜻하면서도 청춘미 넘치는 로맨스 드라마,"드라마, 로맨스",15세 이상 시청가,2023년,4.2,https://file.kinolights.com/m/content_poster/202311/01/97fc81a5-2eef-4d41-bf97-60c9b1428963.webp,"넷플릭스, 왓챠, 티빙"
너에게 닿기를 1기,그의 이름은 카제하야 쇼타. 아이들이 무서워하는 사와코와는 달리 얼굴과 매너 좋은 사교성 등으로 남녀불문하고 모두에게 인기가 좋은 엄친아였다. 어느 날 뜻하지 않게 마주친 두 사람. 이후 사와코의 고민을 알게된 카제하야는 용기를 내어 다가가라는 조언을 해주었다. 이후 조언대로 했더니 정말로 무서워하던 아이들이 달라졌고 야노 아야네와 요시다 치즈루라는 절친한 친구까지 생겼다. 그러는 사이 사와코는 자신이 변할수 있었던건 카제하야 덕분이라고 여기는 사이 그를 짝사랑하기 시작한다.,"드라마, 코미디, 로맨스, 애니메이션",12세 이상 시청가,2009년,4.0,https://file.kinolights.com/m/content_poster/202307/12/9b2f1f15-8b4c-4c86-87b7-01743aefc3c1.webp,"넷플릭스, 티빙"
너와 100번째 사랑,"너만을 위한 타임리프, 내가 널 지켜줄게. 리쿠는 시간을 되돌릴 수 있는 인생 레코드로 인해 타임리프 능력을 가지게 된다. 첫사랑 소녀인 아오이가 웃는 것을 보기 위해 사용했던 인생 레코드. 하지만 이제 그녀의 슬픈 운명을 바꾸기 위한 시간 여행을 시작한다.","드라마, 로맨스",12세 이상 관람가,2017년,2.9,https://file.kinolights.com/m/content_poster/202307/12/666488e8-27af-4f98-ba6d-8878389595d4.webp,티빙
너와 나,"화사한 봄날, 수학여행 전날이다. 교실 한쪽에서 낮잠에 빠졌던 세미는 문득 불길한 꿈에 눈물을 흘리며 깨어난다. 그리고는 자전거 사고로 다리를 다쳐 잠시 병원에 입원해 있는 하은에게 달려간다. 세미와 하은은 둘도 없는 친구 사이다. 영화는 이 둘의 특별한 하루를 그린다. 봄날, 풋사랑과 짝사랑, 질투, 우정, 작은 오해들, 부끄러운 고백, 불안과 염려, 엉뚱한 재치, 차오른 감정으로 빨갛게 익은 코끝과 귓불 혹은 꿈속의 그 발뒤꿈치와 각질, 동네 뒷산의 짙은 녹음과 노랗게 물든 해질녘, 말하자면 세상을 이루는 온갖 일상의 세부들이 다양하게 한데 모여, 설명되지 않는 애상과 찬란한 활기를 동시에 자아내며 모종의 막중한 분위기를 성사시킨다. <너와 나>는 슬픈 순간에조차 생기로 가득하다.",드라마,12세 이상 관람가,2022년,3.9,https://file.kinolights.com/m/content_poster/202310/30/33ae9e48-3351-4d49-9f45-babee9ff7688.webp,"넷플릭스, 왓챠, 티빙"
너의 결혼식,"고3 여름, 전학생 승희를 보고 첫눈에 반한 우연. 승희를 졸졸 쫓아다닌 끝에 마침내 공식커플로 거듭나려던 그때! 잘 지내라는 전화 한 통만 남긴 채 승희는 사라져버리고, 우연의 첫사랑은 그렇게 막을 내리는 듯했다. 1년 뒤, 승희의 흔적을 쫓아 끈질긴 노력으로 같은 대학에 합격한 우연. 그런데 그의 앞을 가로막은 건… 다름 아닌 그녀의 남.자.친.구! 예술로 빗나가는 타이밍 속 다사다난한 그들의 첫사랑 연대기는 계속된다!","드라마, 로맨스",12세 이상 관람가,2017년,3.0,https://file.kinolights.com/m/content_poster/202307/12/f90b8329-3e1e-44fa-9611-787d4e5061ec.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
너의 목소리가 들려,"속물 국선전담변호사 장혜성과 사람의 마음을 읽는 신비의 초능력 소년 박수하, 바른 생활 사나이 차관우가 만나며 벌어지는 사건들을 흥미진진하게 그린 드라마","드라마, 코미디, 판타지",15세 이상 시청가,2013년,4.0,https://file.kinolights.com/m/content_poster/202307/12/a4d79048-2b18-4191-b2e8-20508f1990f1.webp,넷플릭스
너의 색,사람을 색으로 느끼는 엉뚱한 여고생 토츠코. 토츠코는 어느 날 학교에서 한번도 느껴보지 못한 찬란하고 아름다운 색을 가진 소녀 키미를 만난다. 그리고 우연히 작은 책방에서 조우한 음악을 좋아하는 소년 루이까지 합세하여 오랫동안 꿈꾸던 밴드를 결성하게 되고 서로에게 서서히 스며들기 시작하는데..!,"로맨스, 애니메이션",전체 관람가,2024년,3.1,https://file.kinolights.com/m/content_poster/202409/12/71e8a305-5727-4b91-a88e-e9ad634fbc4d.webp,왓챠
너의 이름은.,"도쿄에 사는 소년 타키와 시골에 사는 소녀 미츠하는 서로의 몸이 뒤바뀌는 신기한 꿈을 꾼다. 낯선 가족, 낯선 친구들, 낯선 풍경들... 반복되는 꿈과 흘러가는 시간 속, 마침내 깨닫는다. 우리, 서로 뒤바뀐 거야? 서로에게 남긴 메모를 확인하며 점점 친구가 되어가는 타키와 미츠하. 언제부턴가 더 이상 몸이 바뀌지 않자 자신들이 특별하게 이어져있었음을 깨달은 타키는 미츠하를 만나러 가는데...","드라마, 로맨스, 애니메이션",12세 이상 관람가,2016년,3.6,https://file.kinolights.com/m/content_poster/202307/12/700f8aa7-9999-4c81-9ac4-a40b051f900b.webp,"왓챠, 쿠팡플레이"
너의 췌장을 먹고 싶어,"운명의 장난처럼 만난 두 고등학생의 감동적인 이야기. 우연히 병원에서 인기 여학생 사쿠라의 비밀을 알게 된 무심한 독서광 시가. 췌장암 진단을 받은 사쿠라와 함께 시간을 보내며, 시가는 인생의 의미를 깨닫게 된다. 남은 시간 동안 서로에게 특별한 존재가 되어가는 두 사람의 아름답고 가슴 아픈 여정.","드라마, 로맨스",12세 이상 관람가,2017년,3.1,https://file.kinolights.com/m/content_poster/202503/17/8aad993f-10d4-4f1f-a74e-3374c33f0260.webp,왓챠
널 만난 그날,"광고 기획사에서 일하는 쉬무는 제안서 발표 회의에서 고등학교 동창 셰스와 재회한다. 어느 날, 쉬무가 술에 취해 SNS에 올린 사진 때문에 주위 사람들은 두 사람을 커플로 오해하고, 쉬무와 셰스는 각자의 사정으로 계약 연애를 시작하고 동거까지 하게 되는데...",드라마,15세 이상 시청가,2024년,0.0,https://file.kinolights.com/m/content_poster/202408/22/f9fddd47-b166-4cc7-89e6-142aca15115d.webp,"왓챠, 티빙"
